Publication Years	Record Count	% of 636,938
2019	52520	8.246
2020	52011	8.166
2018	47401	7.442
2017	44393	6.970
2016	41534	6.521
2015	38063	5.976
2021	35449	5.566
2014	33888	5.320
2013	29859	4.688
2012	27496	4.317
2011	23564	3.700
2010	22996	3.610
2009	22825	3.584
2008	21316	3.347
2007	19203	3.015
2006	16921	2.657
2005	15174	2.382
2004	12818	2.012
2003	11444	1.797
2002	9668	1.518
2001	8452	1.327
2000	8248	1.295
1998	7268	1.141
1999	6865	1.078
1997	6706	1.053
1996	5085	0.798
1995	3928	0.617
1994	3392	0.533
1993	2884	0.453
1992	2705	0.425
1991	2390	0.375
1990	276	0.043
2022	84	0.013
1989	36	0.006
1988	11	0.002
1973	10	0.002
1986	8	0.001
1984	6	0.001
1980	5	0.001
1981	5	0.001
1977	4	0.001
1982	4	0.001
1985	4	0.001
1970	3	0.000
1974	3	0.000
1979	3	0.000
1987	3	0.000
1971	2	0.000
1978	2	0.000
1983	2	0.000
1972	1	0.000
