Publication Years	Record Count	% of 103,311
2019	7724	7.476
2020	7541	7.299
2018	6792	6.574
2017	6585	6.374
2016	6258	6.057
2015	5593	5.414
2021	5241	5.073
2014	5158	4.993
2013	4520	4.375
2012	4362	4.222
2011	3822	3.700
2010	3649	3.532
2009	3584	3.469
2008	3173	3.071
2007	2991	2.895
2006	2784	2.695
2005	2589	2.506
2004	2206	2.135
2003	1904	1.843
2002	1701	1.646
2001	1510	1.462
2000	1486	1.438
1999	1212	1.173
1998	1183	1.145
1997	1064	1.030
1996	1015	0.982
1995	891	0.862
1994	833	0.806
1993	732	0.709
1992	665	0.644
1991	629	0.609
1990	529	0.512
1989	453	0.438
1988	326	0.316
1987	286	0.277
1984	251	0.243
1986	231	0.224
1985	218	0.211
1983	195	0.189
1982	176	0.170
1980	163	0.158
1981	146	0.141
1977	126	0.122
1979	122	0.118
1978	119	0.115
1976	100	0.097
1975	92	0.089
1973	85	0.082
1972	78	0.076
1974	72	0.070
1971	69	0.067
1970	68	0.066
2022	9	0.009
